Name,Type,System,Planet,Moon,Place
Grim Hex Clinic,Hospital,Stanton,,,Grim HEX
Haven,City,Tyrol,Tyrol V,,
HDMO-Calthrope (NA),Cave,Stanton,Hurston,,
HDPC-Cassillo,,,,,
HDPC-Farnesway,,,,,
Jata,City,Davien,Cestulus,,
Kareah,Space station,Stanton,,Cellin,
KC Trending,Store,Stanton,,,Grim HEX
Kesseli,City,Banshee,Lorona,,
KH3-AAE-L,Outpost,Stanton,microTech,,
Klescher Rehabilitation Facility,Correctional facility,Stanton,,Aberdeen,
L8P-JUC-8 (Offline),Outpost,Stanton,microTech,,
Launch Pad,Outpost,Stanton,,Lyria,
Lespin,Outpost,Stanton,,Cellin,
Levski clothing store,Store,Nyx,Delamar,,Levski
Levski general merchandise store,Store,Nyx,Delamar,,Levski
Levski Hospital,Hospital,Nyx,Delamar,,Levski
Live Fire Weapons (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Live Fire Weapons (CRU-L1 Ambitious Dream Station),Store,Stanton,,,CRU-L1 Ambitious Dream Station
Live Fire Weapons (HUR-L1 Green Glade Station),Store,Stanton,,,HUR-L1 Green Glade Station
Live Fire Weapons (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Live Fire Weapons (HUR-L4 Melodic Fields Station),Store,Stanton,,,HUR-L4 Melodic Fields Station
Live Fire Weapons (HUR-L5 High Course Station),Store,Stanton,,,HUR-L5 High Course Station
Live Fire Weapons (MIC-L1 Shallow Frontier Station),Store,Stanton,,,MIC-L1 Shallow Frontier Station
Live Fire Weapons (Port Olisar),Store,Stanton,,,Port Olisar
Magellan's,Bar,Sol,Earth,,New York
Mariana,City,Helios,Tangaroa,,
Moluto,Outpost,Stanton,,Daymar,
Moscow,City,Sol,Earth,,
Neso Triangle,,,,,
Nest Apartments,Residential,Stanton,microTech,,New Babbage
New Arden,City,Davien,Cestulus,,
New Corvo,City,Vega,Aremis,,
New Deal,Store,Stanton,Hurston,,Lorville
New Junction,City,Corel,Lo,,
New York,City,Sol,Earth,,
Newcastle,City,Magnus,Borea,,
NT-999-XVI,Outpost,Stanton,,Daymar,
NT-999-XXII,Outpost,Stanton,,Yela,
O'Halloran's,Bar,Sol,Earth,,New York
Odyssa,City,Magnus,Borea,,
Olympus,Town,Nul,Ashana,,
Omega Pro,Store,Stanton,microTech,,New Babbage
Opal,Outpost,Stanton,,Yela,
Port Renatus,City,Sol,Mars,,
Prashad,Outpost,Stanton,,Daymar,
Providence Surplus,Store,Stanton,Crusader,,Orison
Quinton,City,Croshaw,Angeli,,
Radegast,Bar,Sol,Mars,,Port Renatus
Raleigh Station,Settlement,Odin,Vili,,
Refinery deck store (ARC-L1 Wide Forest Station),Store,Stanton,,,ARC-L1 Wide Forest Station
Refinery deck store (CRU-L1 Ambitious Dream Station),Store,Stanton,,,CRU-L1 Ambitious Dream Station
Refinery deck store (HUR-L1 Green Glade Station),Store,Stanton,,,HUR-L1 Green Glade Station
Refinery deck store (HUR-L2 Faithful Dream Station),Store,Stanton,,,HUR-L2 Faithful Dream Station
Refinery deck store (MIC-L1 Shallow Frontier Station),Store,Stanton,,,MIC-L1 Shallow Frontier Station
Regal Luxury Rentals,Rental,Stanton,microTech,,New Babbage
Security Depot Hurston-1,Outpost,Stanton,Hurston,,
Security Depot Lyria-1,Outpost,Stanton,,Lyria,
Shubin Interstellar (New Babbage),Store,Stanton,microTech,,New Babbage
Skutters,Store,Stanton,,,Grim HEX
Tamdom Plains Aid Shelter,Public shelter,Stanton,,Daymar,
Tammany and Sons,Store,Stanton,Hurston,,Lorville
Tanys,City,Idris,Locke,,
Teach's Ship Shop,Store,Nyx,Delamar,,Levski
Thaquray,Outpost,Stanton,,Daymar,
The Garden,Outpost,Stanton,,Daymar,
Titus,City,Vega,Selene,,
Torchlight Express,Bar,Baker,,,Covalex Shipping Hub Xenia
TPF,Outpost,Stanton,,Daymar,
Trade and Development Division (Area18),Administration,Stanton,ArcCorp,,Area18
Trade and Development Division (New Babbage),Administration,Stanton,microTech,,New Babbage
Tram,City,Ferron,Asura,,
Traveler Rentals,Rental,Stanton,ArcCorp,,Area18
Utopia,Outpost,Stanton,,Yela,
Vantage Rentals,Rental,Stanton,Hurston,,Lorville
Viola's,Bar,Stanton,Hurston,,Lorville
Wally's Bar,Bar,Stanton,microTech,,New Babbage
Wan,Outpost,Stanton,,Yela,
Wreck of the UEES Flyssa,Ship wreck,Stanton,,Daymar,
